Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_score,segment
327,12,77556.46,2,5,5,25,Occasional
4,8,4921.530000000001,5,4,5,54,Devoted
77,5,2019.4,3,4,4,34,Loyal
20,4,4428.6900000000005,5,3,5,53,Loyal
312,1,334.40000000000003,2,1,2,21,Disinterested
377,1,300.93,2,1,2,21,Disinterested
38,10,2849.84,4,5,4,45,Loyal
206,2,406.76,2,2,2,22,Disinterested
234,1,1079.3999999999999,2,1,3,21,Disinterested
216,2,947.6099999999999,2,2,3,22,Disinterested
24,6,6373.68,4,4,5,44,Loyal
35,3,18287.66,4,3,5,43,Loyal
3,5,3887.0700000000006,5,4,5,54,Devoted
59,10,8935.940000000002,4,5,5,45,Loyal
54,8,4252.89,4,4,5,44,Loyal
289,4,511.24999999999994,2,3,2,23,Unengaged
5,11,5356.23,5,5,5,55,Devoted
111,2,552.0,3,2,2,32,Infrequent
9,4,1313.1000000000001,5,3,4,53,Loyal
293,2,641.3799999999999,2,2,3,22,Disinterested
635,1,500.24,1,1,2,11,Disinterested
6,1,168.89999999999998,5,1,1,51,New
630,1,917.6999999999999,1,1,3,11,Disinterested
415,3,1791.1499999999999,1,3,4,13,Unengaged
53,7,4320.3099999999995,4,4,5,44,Loyal
46,5,4067.38,4,4,5,44,Loyal
73,3,1298.0400000000002,3,3,4,33,Need_attention
313,3,1127.65,2,3,3,23,Unengaged
27,4,2989.2200000000003,4,3,5,43,Loyal
12,2,457.5,5,2,2,52,Loyal
391,2,503.15000000000003,2,2,2,22,Disinterested
317,4,3426.3199999999997,2,3,5,23,Unengaged
131,2,5416.32,3,2,5,32,Infrequent
83,4,1620.22,3,3,4,33,Need_attention
23,11,9676.3,4,5,5,45,Loyal
6,5,1845.3100000000004,5,4,4,54,Devoted
186,5,1850.5600000000002,3,4,4,34,Loyal
30,2,585.2700000000001,4,2,2,42,Loyal
381,1,1938.3999999999999,2,1,4,21,Disinterested
339,2,401.9,2,2,2,22,Disinterested
417,1,143.94,1,1,1,11,Disinterested
17,8,3901.11,5,4,5,54,Devoted
404,3,1433.33,2,3,4,23,Unengaged
81,1,549.84,3,1,2,31,Infrequent
23,6,2773.42,4,4,4,44,Loyal
593,1,234.75000000000003,1,1,1,11,Disinterested
74,6,2399.45,3,4,4,34,Loyal
65,2,1272.48,3,2,4,32,Infrequent
21,15,4721.169999999999,5,5,5,55,Devoted
676,1,931.4300000000001,1,1,3,11,Disinterested
37,2,2409.9000000000005,4,2,4,42,Loyal
47,1,1635.6599999999999,4,1,4,41,Committed
121,7,1962.3000000000004,3,4,4,34,Loyal
416,1,205.25,1,1,1,11,Disinterested
